职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
施工助理（放线员）,江苏南通二建集团有限公司青岛分公司,平凉,4-6千/月,07-23,无工作经验,招若干人,建筑工程师,07-23发布
财务助理,佛吉亚排气控制系统（宁波杭州湾新区）有限公司,宁波-慈溪市,3-4.5千/月,07-23,无工作经验,本科,财务助理/文员;会计;应收应付账款;核算;固定资产;盘点登记;现金月报;税务申报,招1人
资产运营（法律专业）,航天科工武汉磁电有限责任公司,武汉-洪山区,6-8万/年,07-23,1年经验,本科,固定资产会计;其他;财务管理;金融管理;资产运营,招1人
账务员（义乌）,吉利商用车集团,义乌,5-7千/月,07-23,3-4年经验,中专,单证员;仓库管理员,招1人
销售报表专员,九芝堂股份有限公司,长沙-岳麓区,3-4.5千/月,07-23,无工作经验,大专,销售行政专员,招1人
Financial Analyst 财务分析员,大陆马牌轮胎（中国）有限公司,合肥,16-25万/年,07-23,5-7年经验,本科,财务分析员;财务分析经理/主管;财务分析;财务分析员,招1人
总务助理（行政前台）,周生生（中国）商业有限公司,广州,,07-23,无工作经验,大专,行政专员/助理,招若干人
产品运营专员,格林豪泰酒店（中国）有限公司,上海-长宁区,0.8-1.5万/月,07-23,2年经验,本科,产品/品牌专员;用户运营;APP,招2人
运营管培生,四川永辉超市有限公司,四川省,3-4千/月,07-23,无工作经验,大专,储备干部;培训;商超卖场,招30人
Android/Linux驱动主任工程师/助理经理,宏达通讯有限公司（HTC）,上海-浦东新区,1.5-2.5万/月,07-23,5-7年经验,本科,手机软件开发工程师;高级软件工程师,招若干人
电工,成都居然之家家居有限公司,成都-金牛区,3.8-5.3千/月,07-23,2年经验,中专,电工;物业设施管理人员;电工;综合维修工;空调工;电梯工,招1人
副业务主任/业务专员,周生生（中国）商业有限公司西安分公司,兰州,,07-23,1年经验,大专,业务分析专员/助理,招2人
销售代表-批发（东莞常平）,中国达能饮料,东莞,4.5-6千/月,07-23,无工作经验,招1人,销售代表;销售；脉动,07-23发布
销售督导（涪陵电器店）,重庆苏宁易购销售有限公司,重庆-涪陵区,4.5-6千/月,07-23,2年经验,大专,销售主管;销售督导,招若干人
风险控制（On-site Inspector）,上海华夏邓白氏商业信息咨询有限公司,上海-虹口区,5-7千/月,07-23,1年经验,招2人,风险管理/控制;情报信息分析人员,07-23发布
高级体系工程师,捷普集团-日新（天津） 塑胶有限公司,天津-西青区,1-1.5万/月,07-23,5-7年经验,本科,体系工程师;体系，英语,招1人
业务储干,三全食品股份有限公司,上海-静安区,4.5-6千/月,07-23,无工作经验,大专,渠道/分销主管;销售,招若干人
渠道发展部-企划督导岗,太平人寿保险有限公司江苏分公司,南京,6-8千/月,07-23,1年经验,本科,保险内勤,招1人
标准与法规管理主管工程师,吉利汽车（总部）,宁波,1-1.5万/月,07-23,无工作经验,招1人,其他,07-23发布
法务专员,三得利（中国）投资有限公司,上海-静安区,6-8千/月,07-23,2年经验,本科,法务主管/专员;法务助理;法务,招1人
石景山德邦聘快递员+同行优先,北京德邦货运代理有限公司（德邦快递）,北京-昌平区,0.5-1万/月,07-23,无工作经验,初中及以下,快递员;快递;配送,招10人
日语翻译,广东格兰仕集团有限公司,中山,6-9千/月,07-23,1年经验,本科,日语翻译;日语翻译;N1,招1人
驾驶员（派遣制）,太平洋人寿保险苏州分公司,,4.5-6千/月,07-23,,,,
财险深圳-车商渠道经理,太平财产保险有限公司深圳分公司,深圳,1-1.5万/月,07-23,无工作经验,招若干人,保险业务经理/主管,07-23发布
济南市中诚聘物流专员,德邦快递,,3.8-4.5千/月,07-23,,,,
急招 英语培训师 高薪,昂立教育集团外语事业部,上海-徐汇区,0.8-1万/月,07-23,无工作经验,本科,培训讲师;培训督导;培训师;讲师;英语培训师,招10人
招聘专员（BP方向）,格力电器（武汉）有限公司,武汉-汉阳区,4-5千/月,07-23,无工作经验,大专,招聘专员/助理;招聘专员,招1人
环保职业健康工程师,TCL家电集团,合肥-经开区,,07-23,3-4年经验,大专,其他,招2人
瑞丽高薪招带车快递员,德邦快递,,5-9千/月,07-23,,,,
成本核算专员,江西汇仁医药贸易有限公司,南昌,4.5-6千/月,07-23,无工作经验,大专,成本管理员;核算，会计,招2人
后勤管理部助理,济南历下大润发商贸有限公司,济南,3-4千/月,07-23,无工作经验,中专,后勤,招5人
财务经理（负责浙江区域）,杉德支付网络服务发展有限公司,杭州-下城区,6-8千/月,07-23,5-7年经验,本科,财务经理;中级会计师;财务管理,招1人
正式店员（鞍山万达）(023756),唯品会（中国）有限公司,鞍山,4.5-6千/月,07-23,无工作经验,招若干人,店员/营业员,07-23发布
Failure Analyst Engineer,美国力特集团,无锡,,07-23,5-7年经验,本科,故障分析工程师;电子工程师/技术员;故障分析;FA;分立器件,招若干人
质检员,中山市华帝智慧家居有限公司,中山,4-4.5千/月,07-23,1年经验,大专,质量检验员/测试员,招2人
家居销售,广州市华帝集成家居有限公司,广州,6-8千/月,07-23,1年经验,大专,销售代表;客户代表;销售;顾问;定制家居;集成家居;顶墙定制;品格;友邦,招若干人
业务主管（现渠）,湖南旺旺食品有限公司上海分公司,上海,6-8千/月,07-23,无工作经验,招1人,渠道/分销主管,07-23发布
招标经理,红星美凯龙国际家居连锁（建设事业中心）,上海-普陀区,1-1.8万/月,07-23,5-7年经验,大专,工程造价师/预结算经理,招若干人
市场专员（浦东川沙校区）,昂立教育集团智立方中学生vip学习中心,上海-浦东新区,6-8千/月,07-23,无工作经验,招若干人,市场助理;市场/营销/拓展专员,07-23发布
德邦快递储备干部/文职/实习生/就近分配,德邦快递,,4.5-6千/月,07-23,,,,
销售代表(无责任底薪+高提成+五险一金+晋升空间）,招商银行股份有限公司淄博分行,淄博,6-8千/月,07-23,无工作经验,大专,渠道/分销专员;销售代表;银行;信用卡;金融;服务;高薪;双休;保险;公积金;销售;业务员,招10人
财务分析师,佳通轮胎（中国）投资有限公司,上海-长宁区,,07-23,2年经验,本科,财务分析员,招1人
必胜客餐厅储备经理-黔江,重庆肯德基有限公司,重庆-黔江区,3-4.5千/月,07-23,无工作经验,大专,储备干部;店长/经理;管培生;发展;培训;500强,招5人
厨师（万科养老业务）,无锡万科企业有限公司,无锡,4.5-6千/月,07-23,3-4年经验,大专,中餐厨师;其他,招1人
快驴事业部-蔬菜采购,美团点评,杭州,0.8-1万/月,07-23,3-4年经验,大专,采购经理,招1人
Assistant Manager,毕马威中国 KPMG China,青岛,1-1.5万/月,07-23,3-4年经验,本科,税务专员/助理,招若干人
工业设计专家(J31072),碧桂园控股,佛山-顺德区,1.5-2万/月,07-23,无工作经验,招若干人,工业/产品设计,07-23发布
Product Designer/产品设计师,欧尚集团国际采购中心,广州-天河区,0.8-1万/月,07-23,3-4年经验,大专,工业/产品设计;包装设计,招1人
销售工程师,廊坊立邦涂料有限公司,太原,6-8千/月,07-23,2年经验,大专,销售工程师;工程销售;项目销售;战略销售;大客户,招1人
HR Representative 人力资源代表,国民油井华高（北京）投资管理有限公司,北京-东城区,0.6-1万/月,07-23,无工作经验,本科,人事专员;人事助理,招若干人
FILA Kids 培训经理,FILA中国,成都-锦江区,1.5-2万/月,07-23,无工作经验,本科,培训经理/主管;培训;零售;服装,招1人
售后热线客服专员,雅培中国,,,07-23,,,,
高级顾问，信用风险管理,毕马威中国 KPMG China,上海,0.9-1.5万/月,07-23,2年经验,本科,风险管理/控制;信审核查,招1人
物业环境主任,广东保利置业有限公司,广州-花都区,6-8千/月,07-23,3-4年经验,大专,物业管理主管,招1人
Senior HR Business Partner,英特尔（中国）有限公司,上海,3-4.5千/月,07-23,10年以上经验,本科,HRBP;HRBP;人力资源;业务合作伙伴,招若干人
衡阳营业部经理,京东商城华中分公司,衡阳,,07-23,无工作经验,大专,物流经理,招若干人
薪资福利专员/助理,上海肯德基有限公司,上海-徐汇区,7-8.8千/月,07-23,1年经验,本科,薪资福利专员/助理;薪资福利;C&B;薪资福利专员,招1人
肯德基餐厅储备经理-无锡新区,无锡肯德基有限公司,无锡-无锡新区,4.5-5千/月,07-23,无工作经验,本科,储备干部;餐厅领班;储备经理;储备干部;连锁餐饮;餐饮服务;管理培训生;实习;销售;客服;应届生,招若干人
南山区轻奢服装CK导购,鹏卫齐商业（上海）有限公司,深圳,5-7千/月,07-23,无工作经验,招若干人,店员/营业员;导购员;CalvinKlein;店员;营业员;导购,07-23发布
前介工程师,碧桂园四川区域,四川省,,07-23,2年经验,大专,前介工程师;房产项目配套工程师,招若干人
执行项目经理,爱立信信息技术服务（中国）有限公司,广州,0.6-1万/月,07-23,无工作经验,招若干人,项目经理;项目经理;移动,07-23发布
渗透测试工程师,携程旅行网IT技术区,上海-长宁区,1.5-3万/月,07-23,无工作经验,招若干人,网络信息安全工程师,07-23发布
Logistics Analyst,纽威咨询服务（深圳）有限公司-宁波分公司,宁波-鄞州区,8-10万/年,07-23,2年经验,本科,物流专员/助理,招1人
IT PCN Analyst,雪佛龙中国下游业务,宁波,1.5-2万/月,07-23,5-7年经验,本科,技术支持/维护工程师;技术支持/维护经理,招若干人
新媒体运营专员,上海新东方学校,上海-杨浦区,6-6.5千/月,07-23,2年经验,本科,网络推广专员;文案/策划,招若干人
机械/自动化技术员（日语必须）,本田汽车零部件制造有限公司,广东省,8-12万/年,07-23,无工作经验,招若干人,机械工程师;日语翻译,07-23发布
电工,华润万家有限公司-南区业务单元,湖南省,3-4.5千/月,07-23,2年经验,招1人,电工;其他,07-23发布
Reception Intern /行政前台实习生（限2020年毕业生，公司阳逻有班车，免费工作餐）,西门子变压器(武汉)有限公司(STWH),武汉,,07-23,无工作经验,本科,前台接待/总机/接待生,招若干人
合同执行,嘉吉粮油（南通）有限公司 Cargill,,,07-23,,,,
客户服务代表（纺织品）,UL中国,深圳-南山区,4-6千/月,07-23,1年经验,大专,客服专员/助理;销售行政专员;客服;检测,招1人
餐厅服务员,广西保利物业服务有限公司,南宁,3-4.5千/月,07-23,无工作经验,中专,餐饮服务员,招10人
广州销售代表,索尼（中国）有限公司,广州-天河区,6-8千/月,07-23,无工作经验,本科,销售代表,招1人
规划顾问（英联邦项目部）,北京新东方学校,北京-海淀区,1-1.5万/月,07-23,无工作经验,本科,培训/课程顾问,招10人
项目 地产销售经理,大金（中国）投资有限公司武汉分公司,长沙-开福区,,07-23,3-4年经验,本科,房地产项目招投标;销售主管;大项目;地产;销售主管,招2人
高级项目监理G05017,新浪微博,北京,1.5-3万/月,07-23,3-4年经验,本科,成本经理/成本主管,招1人
Associate / Senior Consultant - Public Sector - Tax & Legal - Shanghai,德勤华永会计师事务所（特殊普通合伙）,上海,,07-23,1年经验,本科,律师/法律顾问,招若干人
招商部管理培训生,家乐福合肥 Hefei,,3-4.5千/月,07-23,,,,
物流结算员,海尔区域四网融合公司,芜湖,4.5-6千/月,07-23,1年经验,大专,物流专员/助理,招1人
生产主管,广州安费诺诚信软性电路有限公司,广州-南沙区,0.7-1.2万/月,07-23,3-4年经验,大专,生产主管,招2人
生产班长,博世电动工具（成都）有限公司,成都-蒲江县,,07-23,3-4年经验,大专,生产领班/组长,招2人
法务专员,华润双鹤药业股份有限公司-生产管理中心,海口,3-5千/月,07-23,1年经验,本科,法务主管/专员,招1人
银保销售支持,中美联泰大都会人寿保险有限公司江苏分公司,南京-秦淮区,6-8千/月,07-23,1年经验,本科,保险内勤,招1人
银行销售客服/月均6K以上,中美联泰大都会人寿保险有限公司广东分公司,广州-越秀区,0.6-1万/月,07-23,无工作经验,高中,咨询热线/呼叫中心服务人员;客服专员/助理;客服;电话;销售;银行;外呼;行政班;地铁口,招若干人
技术维修部员工,上海欧尚超市有限公司闵行店,上海-闵行区,4-5千/月,07-23,1年经验,初中及以下,物业维修员;物业机电维修工;卖场维修;水电工,招1人
店员（常州）,潘多拉珠宝（上海）有限公司,常州,,07-23,无工作经验,招若干人,珠宝销售顾问;店员/营业员;珠宝销售;店员;奢侈品销售,07-23发布
管理体系服务部ISO27001主任审核员,莱茵技术监督服务（广东）有限公司 TUV Rheinland (Guangdong) Ltd.,,,07-23,,,,
客服综合岗,光大永明人寿保险有限公司深圳分公司,深圳,5-7千/月,07-23,1年经验,本科,保险客户服务/续期管理,招1人
SEBG電站工程師,富士康电子工业发展（昆山）有限公司,昆山,4.5-6千/月,07-23,2年经验,大专,光伏系统工程师;机电工程师;能源、电站,招1人
仓库管理员,摩托罗拉（武汉）移动技术通信有限公司,武汉,5-7千/月,07-23,1年经验,大专,仓库管理员,招2人
店副理 (绍兴) ID45364,星巴克中国,绍兴,,07-23,5-7年经验,大专,店长/经理,招若干人
冰箱用压缩机技术开发工程师,松下电器研究开发（苏州）有限公司,苏州-工业园区,4.5-6千/月,07-23,无工作经验,本科,技术研发工程师,招若干人
KA销售代表,百事饮料(南昌)有限公司,南昌,3-4.5千/月,07-23,无工作经验,招1人,大客户销售;渠道销售,07-23发布
人事行政专员李子园地铁站附近,上海上蔬永辉生鲜食品有限公司,上海-普陀区,4.5-6千/月,07-23,1年经验,中专,人事专员;行政专员/助理,招2人
阿里巴巴外贸业务专员,深圳市欧盈自动化控制系统有限公司,深圳-宝安区,3-4.5千/月,07-23,无工作经验,高中,贸易/外贸专员/助理;外贸业务员,招3人
电商运营,云南将闲文化发展有限公司,昆明-官渡区,0.2-1万/月,07-23,5-7年经验,高中,电子商务总监;电子商务专员;电子商务;电商;淘宝;天猫;京东;运营,招1人
龙岗急招业务员/月收入10000+/提供住宿,深圳市盛世明越科技有限公司,深圳-龙岗区,1-1.5万/月,07-23,2年经验,高中,其他,招10人
纸张分切操作工,宁波联合永祺纸业有限公司,宁波-江北区,5.2-6.5万/年,07-23,无工作经验,高中,切割技工;其他;五险一金;节日福利;通讯补贴;高温补贴;餐饮补贴;绩效奖金;年终奖金;定期体检;奖金丰厚;立即上岗,招3人
蜀山底薪3800京东在线接听客服文员双休包住非销售实习,合肥瑞才企业管理咨询有限公司,合肥-庐阳区,6-8千/月,07-23,1年经验,高中,客服专员/助理;行政专员/助理;客服专员;行政文员;助理;后勤;出纳;财务,招30人
文字编辑,上海雨吉文化传媒股份有限公司,上海,100元/天,07-23,无工作经验,招2人,编辑;文案/策划,07-23发布
资质专员,金工建设集团股份有限公司,昆明,3-4.5千/月,07-23,3-4年经验,大专,行政专员/助理,招3人
电话客服（催收、康太家园附近）,胜科企业,开封,6-8千/月,07-23,无工作经验,招15人,客服专员/助理;咨询热线/呼叫中心服务人员;客服，催收,07-23发布
金融投资业务员（提成+奖金）,广州睿禾智企业管理服务有限公司,广州-天河区,4.5-6千/月,07-23,无工作经验,中专,投资/理财顾问;金融产品销售;金融业务员;投资理财;理财咨询,招3人
销售代表 课程顾问 培训顾问 咨询师  教育顾问,江苏朗阁外语培训中心,南京,0.8-1.6万/月,07-23,无工作经验,大专,销售代表;大客户销售;销售;销售代表;课程顾问;咨询师;顾问;教育,招3人
线上运营经理,江苏罗来雅实业股份有限公司,扬州,6-8千/月,07-23,3-4年经验,大专,网站运营总监;网络推广经理/主管;高端产品推广,招1人
人事行政专员,四川华锦蓉实业有限公司,成都-金牛区,4.5-6千/月,07-23,1年经验,大专,人事专员,招1人
销售助理,深圳市和科达精密清洗设备股份有限公司,深圳-龙华新区,4-7千/月,07-23,1年经验,大专,销售行政助理,招1人
工程预算员,济南金箭加固技术有限责任公司,济南-历城区,6-8千/月,07-23,无工作经验,大专,预结算员;建筑工程管理/项目经理;预算员;结算员;项目经理,招5人
