职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
生产主管,广州安费诺诚信软性电路有限公司,广州-南沙区,0.7-1.2万/月,07-23,3-4年经验,大专,生产主管,招2人
生产班长,博世电动工具（成都）有限公司,成都-蒲江县,,07-23,3-4年经验,大专,生产领班/组长,招2人
法务专员,华润双鹤药业股份有限公司-生产管理中心,海口,3-5千/月,07-23,1年经验,本科,法务主管/专员,招1人
银保销售支持,中美联泰大都会人寿保险有限公司江苏分公司,南京-秦淮区,6-8千/月,07-23,1年经验,本科,保险内勤,招1人
银行销售客服/月均6K以上,中美联泰大都会人寿保险有限公司广东分公司,广州-越秀区,0.6-1万/月,07-23,无工作经验,高中,咨询热线/呼叫中心服务人员;客服专员/助理;客服;电话;销售;银行;外呼;行政班;地铁口,招若干人
技术维修部员工,上海欧尚超市有限公司闵行店,上海-闵行区,4-5千/月,07-23,1年经验,初中及以下,物业维修员;物业机电维修工;卖场维修;水电工,招1人
店员（常州）,潘多拉珠宝（上海）有限公司,常州,,07-23,无工作经验,招若干人,珠宝销售顾问;店员/营业员;珠宝销售;店员;奢侈品销售,07-23发布
管理体系服务部ISO27001主任审核员,莱茵技术监督服务（广东）有限公司 TUV Rheinland (Guangdong) Ltd.,,,07-23,,,,
客服综合岗,光大永明人寿保险有限公司深圳分公司,深圳,5-7千/月,07-23,1年经验,本科,保险客户服务/续期管理,招1人
SEBG電站工程師,富士康电子工业发展（昆山）有限公司,昆山,4.5-6千/月,07-23,2年经验,大专,光伏系统工程师;机电工程师;能源、电站,招1人
仓库管理员,摩托罗拉（武汉）移动技术通信有限公司,武汉,5-7千/月,07-23,1年经验,大专,仓库管理员,招2人
店副理 (绍兴) ID45364,星巴克中国,绍兴,,07-23,5-7年经验,大专,店长/经理,招若干人
冰箱用压缩机技术开发工程师,松下电器研究开发（苏州）有限公司,苏州-工业园区,4.5-6千/月,07-23,无工作经验,本科,技术研发工程师,招若干人
KA销售代表,百事饮料(南昌)有限公司,南昌,3-4.5千/月,07-23,无工作经验,招1人,大客户销售;渠道销售,07-23发布
集团公司风控管理专员,四川国储物流集团有限公司,成都,5-7千/月,07-23,3-4年经验,本科,其他;风控,招若干人
货车司机(危化品）,东莞市隆海新材料科技有限公司,赣州,6-8千/月,07-23,2年经验,中专,货运司机;货车、司机,招1人
网络销售专员,深圳市林展实业有限公司,深圳-龙岗区,4-6千/月,07-23,无工作经验,招1人,网络/在线销售;物业招商/租赁/租售;网络推广;网络营销;网络招商,07-23发布
行政专员/助理（设计经验优先）,浙江东宇物流有限公司,上海-青浦区,6-9千/月,07-23,无工作经验,招若干人,行政专员/助理;平面设计师;平面设计;行政专员;行政助理;海报设计;ps,07-23发布
土建工程师,四川正合信置业有限公司,眉山,1-1.5万/月,07-23,3-4年经验,大专,结构/土木/土建工程师;房产项目配套工程师;土建;监理;土木工程;施工,招1人
步长制药民康县总,山东步长制药股份有限公司,福建省,1-5万/月,07-23,1年经验,招30人,医药学术推广;县总,07-23发布
电话客服专员,华耀影视文化（佛山）有限公司,佛山-南海区,0.6-1.2万/月,07-23,无工作经验,中专,电话销售;客服专员/助理;客服;电话销售,招6人
市场推广专员,深圳市吉康维普科技有限公司,深圳,6-8千/月,07-23,无工作经验,大专,产品/品牌专员;SNS;市场推广;海外市场;运营推广,招若干人
市场助理,天富达电子（深圳）有限公司,深圳-南山区,6-7千/月,07-23,2年经验,大专,市场助理;市场助理;市场文员;助理;文员,招1人
食品法规主任,新控国际健康管理有限公司,成都-武侯区,5-8千/月,07-23,2年经验,本科,质量管理/测试主管(QA/QC主管),招1人
架构师（中间件),浙江集享电子商务有限公司,深圳-宝安区,4-5万/月,07-23,5-7年经验,本科,互联网软件开发工程师;中间件;高可用;高性能;架构,招5人
线下客服,上海宏邦知识产权代理有限公司,上海-黄浦区,4.5-6千/月,07-23,1年经验,大专,客服专员/助理,招1人
消防中控员,东莞康佳电子有限公司,东莞-凤岗镇,3-4.5千/月,07-23,无工作经验,高中,安全员,招1人
活动专员（女装店铺）,上海素可泓服饰有限公司,上海,4.5-6.5千/月,07-23,无工作经验,大专,网店/淘宝运营;产品专员,招1人
财务经理,江西金弓汽车有限公司,吉安,0.8-1万/月,07-23,3-4年经验,大专,财务经理;4S店管理;财务经理,招1人
培训项目主管/经理,创能国瑞（中国）科技有限公司（China GreenTech Ltd）,上海-黄浦区,6-8千/月,07-23,1年经验,本科,培训/课程顾问;培训;合作渠道;能源科技;互联网;在线推广,招若干人
猎头顾问（医疗健康方向）,苏州法思格纳企业管理咨询有限公司,苏州-高新区,6-8千/月,07-23,无工作经验,招10人,招聘专员/助理;猎头/人才中介;HR;人事招聘;招聘主管,07-23发布
潮流博主,长沙巧克盒子传媒有限公司,长沙-雨花区,0.5-1万/月,07-23,无工作经验,招2人,主播/主持人;球鞋;主持人;模特;短视频;网红;潮流;演员;播音主持;时尚,07-23发布
双休 月薪6000+,黑龙江省容维证券数据程序化有限公司陕西分公司,西安-新城区,6-8千/月,07-23,1年经验,招若干人,金融/经济研究员;投资/理财顾问;销售;客服;代表;专员;金融;双休;投资,07-23发布
宝妈优选职位/半天班+收入高,北京平安综合金融营业部,北京,2.5-3万/月,07-23,无工作经验,大专,客服主管;理财顾问/财务规划师;理财;证券;信托;理财经理;客户经理;贷款;销售;金融实习生;金融培训生;金融投资顾问,招若干人
客服文员,上海兴迪新能源汽车销售服务有限公司,上海-普陀区,6-8千/月,07-23,无工作经验,中技,行政专员/助理;客服专员/助理;客服;行政;后勤;销售;文员,招2人
高级销售代表,上海澳星出入境服务有限公司,上海-静安区,20-30万/年,07-23,无工作经验,招3人,销售代表;大客户销售;专业顾问;海外房产;移民顾问;高薪销售;大客户销售;销售代表,07-23发布
游戏策划师（手游）,广州咫尺信息科技有限公司,广州-天河区,0.8-2万/月,07-23,1年经验,大专,游戏策划师;游戏;手游;策划;主策;策划;设计,招若干人
物流销售人员,武汉爱帮供应链管理有限公司,东莞-南城区,0.8-1万/月,07-23,1年经验,大专,销售代表;销售,招1人
Retail Key Account Supervisor,拜耳,西安,,07-23,无工作经验,招若干人,医药销售人员,07-23发布
业务支持专员（风控）,北京恒昌惠诚信息咨询有限公司,东莞-南城区,5-7千/月,07-23,1年经验,本科,风险管理/控制,招1人
财务专员/会计文员,深圳新唯度文化传媒有限公司,深圳-龙华新区,6-8千/月,07-23,2年经验,招1人,财务助理/文员;财务主管/总账主管;财务;会计;总账会计,07-23发布
开票员,陕西宇鑫物流有限公司,咸阳,3-4.5千/月,07-23,1年经验,大专,订单处理员;其他;物流专员;制单员,招若干人
物业管理经理,重庆鹏恒商业管理有限公司,重庆-九龙坡区,0.8-1万/月,07-23,无工作经验,大专,物业管理经理,招2人
soundbar产品经理,铭薪电子（深圳）有限公司,深圳-龙岗区,1-1.4万/月,07-23,5-7年经验,大专,产品/品牌经理;soundbar,招1人
江苏分公司管理培训生（两核方向）,亚太财产保险有限公司,南京,4.5-6千/月,07-23,无工作经验,本科,保险内勤,招若干人
销售实习生+高提成+晋升,汇锦环保科技（天津）有限公司,天津-河东区,4.5-6千/月,07-23,无工作经验,大专,实习生;实习;销售,招6人
课程顾问（五险一金）/销售顾问,青岛励步文化交流有限公司,青岛-市南区,1.5-2万/月,07-23,无工作经验,招5人,专业顾问;课程顾问,07-23发布
高级客服文员（4K底+佣金+周末休,香港舜航控股国际有限公司,广州-越秀区,4-8千/月,07-23,1年经验,中专,客服专员/助理;前台接待/总机/接待生;美容;客服;文员;助理;行政;电话;售前售后;微信;咨询,招5人
业务员,泰州沐和建设有限公司,泰州,3-4.5千/月,07-23,无工作经验,招若干人,其他,07-23发布
行政专员,南通思莱德国际贸易有限公司,南通,3-4.5千/月,07-23,1年经验,本科,行政专员/助理;教育培训行政,招1人
市场文案策划,南京万厦建设职业培训中心,南京,4.5-6千/月,07-23,无工作经验,本科,市场企划专员;SEO/SEM;市场策划;文案;市场助理;市场营销;市场推广;实习生;网络推广;网络营销;seo/sem;微信推广,招若干人
物流主管,北京东晓腾飞供应链管理有限公司,北京-顺义区,0.8-1万/月,07-23,3-4年经验,大专,物流主管,招1人
机电工程师/水利水电工程师,武汉碧水投资运营有限公司,武汉-武昌区,0.8-1万/月,07-23,3-4年经验,大专,水利/水电工程师;机电工程师;水利水电机电,招12人
餐厅经理,缪可乳业（上海）有限公司,上海-闵行区,4.5-6千/月,07-23,1年经验,招1人,店长/经理;大堂经理,07-23发布
业务跟单员,巨轮智能装备股份有限公司,揭阳,4.5-6千/月,07-23,无工作经验,本科,业务跟单;高级业务跟单;业务;跟单,招1人
水电管理员,北部湾旅游股份有限公司,北海,4-6千/月,07-23,无工作经验,招2人,电工;水工,07-23发布
氩焊工,深圳市鹏翔汇星水处理技术有限公司,深圳-宝安区,3-4.5千/月,07-23,无工作经验,招5人,氩弧焊工;焊工;焊工;氩弧焊工;水处理;松岗,07-23发布
网站推广专员,广州富邦文化科技集团有限公司,广州-番禺区,3-8千/月,07-23,无工作经验,招1人,网络推广专员;seo;sem;推广;网站运营;网站推广;竞价;优化,07-23发布
电工,辽宁五洲通大药房连锁有限公司,沈阳-浑南区,2.5-5千/月,07-23,无工作经验,招1人,电工,07-23发布
外贸专员（英语）,粤和兴激光刀模（深圳）有限公司,深圳,6-8千/月,07-23,3-4年经验,本科,贸易/外贸专员/助理;外贸专员,招2人
肥东食品厂 包装工 包吃住,所盼企业,合肥-肥东县,4.6-5.5千/月,07-23,3-4年经验,高中,普工/操作工,招10人
销售专员（旅游+奖金+五险）,南京信际云信息科技有限公司,南京-鼓楼区,0.8-1.2万/月,07-23,无工作经验,大专,销售代表;客户代表;面销;地推;渠道销售;销售专员,招3人
幼儿教师,南京卡睿特教育科技有限公司,南京-江宁区,6-8千/月,07-23,1年经验,大专,幼教;幼教;老师;全脑开发;幼儿老师,招6人
服装CAD软件开发工程师,上海雪踪豹实业股份有限公司,上海-松江区,1-3万/月,07-23,5-7年经验,本科,软件工程师;软件开发,招若干人
品类总监（食百）,重庆永辉超市有限公司,上海,3-4万/月,07-23,8-9年经验,本科,办事处/分公司/分支机构经理;品类经理;供应链;品类;市场分析;食百,招若干人
会计,嘉里大通物流有限公司上海分公司,,,07-23,,,,
Digital Marketing& MarCom Manager,德尔格中国,上海-浦东新区,2-2.5万/月,07-23,5-7年经验,本科,市场/营销/拓展经理,招1人
医务管理,泰康人寿保险有限责任公司深圳分公司,深圳-福田区,0.8-1万/月,07-23,无工作经验,本科,保险内勤;其他,招1人
Java高级开发工程师,TCL集团工业研究院,深圳,2-2.5万/月,07-23,5-7年经验,本科,高级软件工程师;互联网软件开发工程师;Java开发;需求分析;功能设计;编码;测试;API接口设计,招3人
水电工程师,玖龙纸业（太仓）有限公司,太仓,10-12万/年,07-23,无工作经验,招2人,水利/水电工程师;房产项目配套工程师;给排水;水电施工;水电;消防;弱电,07-23发布
计划财务部-财务内控岗,兴业证券股份有限公司,福建省,1-1.5万/月,07-23,5-7年经验,本科,财务经理,招1人
电话邀约专员,韦博开心豆少儿英语培训学校,上海-徐汇区,3-8千/月,07-23,1年经验,高中,专业顾问;电话销售,招5人
店员,楽楽茶,武汉-汉阳区,4.5-6千/月,07-23,无工作经验,中专,店员/营业员,招30人
驾驶员,建发房地产集团有限公司,无锡,6-8千/月,07-23,3-4年经验,中专,商务司机;司机;驾驶员,招1人
国际快件派送员/快递员 - 常州,中外运-敦豪(DHL-Sinotrans),,4.5-6千/月,07-23,,,,
数据产品\运营实习生,完美世界（北京）总部/完美时空,北京,3-4.5千/月,07-23,无工作经验,本科,产品专员;网站运营专员;产品;运营;数据;数据产品;数据运营,招1人
安装维修员,分众传媒,南京-玄武区,3-4.5千/月,07-23,1年经验,高中,电工;周末双休;五险一金;绩效奖金;交通补助;高温补贴;补充医疗保险;定期体检;员工旅游;节日福利,招若干人
市场营销客户经理,招商银行股份有限公司信用卡中心,长沙,0.8-1万/月,07-23,1年经验,本科,销售代表;市场,招4人
销售代表,内蒙古蒙牛乳业（集团）股份有限公司低温事业部,江门,4.5-6千/月,07-23,无工作经验,大专,销售代表,招1人
苏州园区急招后厨,上海萨莉亚餐饮有限公司,苏州-工业园区,3.5-4.5千/月,07-23,无工作经验,招8人,配菜/打荷;配菜打荷;切配;学徒助理,07-23发布
产品经理,同程艺龙,苏州,1-2万/月,07-23,3-4年经验,大专,产品经理/主管,招若干人
助理销售工程师（暑期实习，可转正）,江森自控（中国）投资有限公司,杭州-西湖区,,07-23,无工作经验,招1人,销售工程师;空调;销售,07-23发布
H&M - Fitting Model (Ladies) 女装试衣模特,H&M Shanghai Sourcing Office,上海-静安区,100元/小时,07-23,无工作经验,招若干人,兼职;大学/大专应届毕业生,07-23发布
客户咨询员,海信集团有限公司,西安-高新技术产业开发区,3-4.5千/月,07-23,无工作经验,高中,咨询热线/呼叫中心服务人员,招若干人
03006-3PL供应商管理方向,顺丰速运有限公司,,1.3-2.5万/月,07-23,,,,
预结算,名创优品（广州）有限责任公司,广州,5-6.5千/月,07-23,1年经验,大专,预结算员;门店预结算;广联达,招1人
商务团队主任,交通银行信用卡中心,西安-雁塔区,6-8千/月,07-23,1年经验,大专,客户主管/专员;商务;运维;主任;主管;经理;银行,招1人
物业集团-审计经理,弘阳集团有限公司,南京-浦口区,1-1.5万/月,07-23,无工作经验,招1人,审计经理/主管,07-23发布
SAP PP生产管理顾问,北京同仁堂健康药业股份有限公司,北京-大兴区,2-2.5万/月,07-23,无工作经验,招若干人,ERP实施顾问,07-23发布
在线运营经理/总监,昂立教育集团新课程事业部,上海-徐汇区,2-2.5万/月,07-23,3-4年经验,本科,新媒体运营;在线运营;在线课程运营,招1人
采购经理（苏宁便利店温州）,宁波甬宁苏宁易购商贸有限公司,温州,6-9千/月,07-23,无工作经验,招3人,品牌/连锁招商管理;采购经理,07-23发布
电气设计工程师,艾森曼机械设备（上海）有限公司,上海-长宁区,10-16万/年,07-23,3-4年经验,大专,电气工程师/技术员;电气;设计;EPLAN,招1人
地区销售培训经理,菲仕乐贸易（上海）有限公司,西安,1-1.5万/月,07-23,无工作经验,招1人,培训经理/主管,07-23发布
项目执行专员,绿叶制药集团有限公司,上海,0.8-1.2万/月,07-23,无工作经验,本科,会务/会展专员;项目执行/协调人员;医药;项目;药企;市场,招若干人
物流专员（昆山周市镇）,德邦快递,,4.5-5千/月,07-23,,,,
Client Advisor 客户顾问（济南） ID45370,宝格丽商业（上海）有限公司,济南-历下区,,07-23,3-4年经验,招若干人,奢侈品业务,07-23发布
行政前台 Admin Assistant ID45313,英域成语言培训（上海）有限公司（EF 英孚教育）,徐州,3-4千/月,07-23,无工作经验,招若干人,前台接待/总机/接待生,07-23发布
合肥急聘包食宿服务员,外婆家餐饮集团有限公司,合肥-政务区,3.5-4千/月,07-23,无工作经验,招3人,餐饮服务员;传菜员,07-23发布
品牌部实习生,汇源三得利（上海）饮料有限公司,上海-静安区,100元/天,07-23,无工作经验,本科,大学/大专应届毕业生;品牌;实习生,招1人
媒介顾问,广东省南方传媒发行物流有限公司,广州-越秀区,15-20万/年,07-23,1年经验,大专,大客户销售;销售代表;销售;媒介销售;渠道销售;销售顾问;周末双休;带薪年假;奖金丰厚;节日福利,招3人
IT工程师,海信赛维电子公司,上海-黄浦区,6-8千/月,07-23,无工作经验,招10人,技术支持/维护工程师,07-23发布
酒水销售代表（快消品销售代表）,青岛啤酒（南京）总经销有限公司,南京,6-8千/月,07-23,1年经验,大专,销售代表;渠道/分销专员;白酒销售;啤酒销售;红酒销售;黄酒销售;快消品销售;传统渠道销售,招2人
IT运维,世茂集团 Shimao Group,南昌-南昌县,5-8千/月,07-23,无工作经验,招若干人,项目执行/协调人员,07-23发布
Client Advisor-WFC-销售-北京王府中环,芬廸（上海）商业有限公司,上海-浦东新区,,07-23,无工作经验,大专,销售助理;销售代表,招2人
Zegna - eCommerce B2B Senior Specialist,杰尼亚（中国）企业管理有限公司,上海,,07-23,3-4年经验,本科,电子商务专员;电子商务经理/主管,招1人
健康饮品华中大区长沙区域城市经理,内蒙古伊利实业集团股份有限公司,湖南省,0.8-1万/月,07-23,1年经验,本科,市场/营销/拓展主管;市场/营销/拓展经理,招5人
喜茶烘焙主厨/副厨（无锡）,喜茶,无锡-锡山区,7-9千/月,07-23,3-4年经验,高中,行政主厨/厨师长,招2人
市场准入主管,上海微创医疗器械（集团）有限公司,杭州,1-1.5万/月,07-23,3-4年经验,本科,招投标管理,招1人
仓库管理员,南京撼动体育用品有限公司,南京,4-6千/月,07-23,无工作经验,高中,仓库管理员,招1人
Digital Commerce Marketing Manager,利丰贸易服务（上海）有限公司,,2.5-3万/月,07-23,,,,
HR实习生（培训方向）(007667),敏实集团,宁波,1.5-2千/月,07-23,无工作经验,大专,实习生;人事助理,招1人
客服专员,麦考林电子商务（上海）有限公司,上海-徐汇区,3-4.5千/月,07-23,1年经验,中专,客服专员/助理;客服,招若干人
平面设计师,九龙仓（长沙）置业有限公司,长沙,0.6-1万/月,07-23,3-4年经验,本科,平面设计师,招1人
企划营销高级经理,红星美凯龙国际家居连锁（华中区域）,株洲,1-1.5万/月,07-23,无工作经验,招1人,总裁助理/总经理助理,07-23发布
C1本驾驶员/货车司机/2,四川安顺易达物流有限公司,成都-武侯区,4.5-6千/月,07-23,无工作经验,初中及以下,货运司机;客运司机;汽车司机;开车;物流;送货;配送;网约车;货运司机;卡车司机;出租车司机;滴滴司机,招10人
质量工程师,广州市华测品标检测有限公司,广州-黄埔区,4-8千/月,07-23,无工作经验,招1人,质量管理/测试工程师(QA/QC工程师);体系工程师,07-23发布
商务跟单,深圳市彩易达光电有限公司,深圳-宝安区,6-8千/月,07-23,2年经验,大专,业务跟单;商务助理;跟单;物流;报关,招1人
施工图设计师（工作地点：青岛）,凯盛上景（北京）景观规划设计有限公司,青岛-市北区,0.8-1万/月,07-23,1年经验,本科,园艺/园林/景观设计;规划与设计;方案深化;施工图设计;施工图绘制;景观施工图,招1人
课程销售顾问/咨询,成都博为峰软件技术有限公司,成都,10-15万/年,07-23,1年经验,大专,专业顾问;销售代表;职业规划;销售;咨询;课程;顾问,招3人
行政人事 （周末双休）,深圳市奥科斯数码有限公司,成都-高新区,4-6千/月,07-23,3-4年经验,大专,行政专员/助理;行政人事,招若干人
中高级竞价/网络推广专员,上海邦奕网络科技有限公司,南宁,4-7千/月,07-23,无工作经验,招4人,网络推广专员;竞价;SEM;网络推广;医疗;包吃包住,07-23发布
培训课程顾问+五险一金+专业培训,爱贝国际少儿英语,合肥,0.4-1万/月,07-23,无工作经验,大专,专业顾问;培训/课程顾问;教育培训;课程销售;咨询顾问;应届毕业生;少儿英语;市场营销;储备干部,招2人
亚马逊日本站销售运营,深圳市易信元科技有限公司,深圳-龙岗区,5-8千/月,07-23,1年经验,大专,贸易/外贸专员/助理;日语专业;日本站;亚马逊;运营;销售;跨境电商;日本;日语,招2人
猎头顾问,北京锐仕方达人力资源集团有限公司武汉分公司,武汉-洪山区,0.8-1万/月,07-23,3-4年经验,大专,猎头/人才中介;猎头顾问;咨询顾问;人才中介;电话销售;招聘主管;销售顾问,招2人
总经理助理/经理秘书,天意有福科技股份有限公司,广州-白云区,0.8-1.5万/月,07-23,3-4年经验,本科,总裁助理/总经理助理;经理助理/秘书;总经理助理;总经理秘书,招1人
运营经理,河北乐聪网络科技股份有限公司,廊坊,6-8千/月,07-23,3-4年经验,本科,网站运营专员;运营专员,招2人
活动执行助理,郑州界上文化传媒有限公司,郑州-管城回族区,3-4.5千/月,07-23,无工作经验,中技,活动执行;活动执行,招1人
业务跟单,动力博石（广东）智能装备有限公司,江门,5-8千/月,07-23,无工作经验,中专,业务跟单,招3人
方案设计及技术支持工程师,深圳中科向荣科技有限公司,深圳-南山区,0.6-1.2万/月,07-23,无工作经验,招3人,智能大厦/综合布线/安防/弱电,07-23发布
机器视觉软件工程师,深圳市视觉龙科技有限公司,深圳-龙华新区,0.6-1.6万/月,07-23,无工作经验,大专,软件工程师;软件工程师;机器视觉;C#;3D,招1人
网站销售,深圳开创网络技术有限公司,深圳-南山区,0.6-1.5万/月,07-23,1年经验,大专,销售代表;网站销售,招2人
市场专员,高顿财经,重庆-南岸区,4.5-6千/月,07-23,无工作经验,本科,市场/营销/拓展专员;市场企划专员;市场专员;活动策划;校园推广,招2人
7000起底薪+90后大学生管培生,深圳市乐有家控股集团有限公司,广州-番禺区,0.8-1万/月,07-23,无工作经验,本科,销售代表;网络/在线销售;网络销售;网络营销;营销策划;电话销售;直销销售;渠道销售,招5人
酒楼水电工/设备维修工/美悦盛宴,广州同芯酒店管理有限公司,广州-白云区,4.5-6千/月,07-23,5-7年经验,中专,物业机电维修工;电工;电工;维修工,招1人
实习生（无责底薪4K+奖金+住宿）,苏州志高网络科技有限公司,苏州,4.5-6千/月,07-23,无工作经验,中专,实习生;大学/大专应届毕业生;实习生;应届生;客服文员;文员;助理,招15人
塑料瓶外贸业务员,佛山市朗利贸易有限公司,佛山,5-7千/月,07-23,1年经验,大专,贸易/外贸专员/助理;高级业务跟单;塑料瓶业务员;外贸业务员;业务员;外贸销售;销售;周末双休;塑料;贸易;进出口,招1人
文员,广州牛市贸易有限公司,广州-白云区,3.5-4千/月,07-23,1年经验,中专,行政专员/助理;业务跟单;文员;办公室;行政;船务;后勤;应届毕业生;单证,招1人
客服外呼,北京众信忧联科技有限公司,西安-雁塔区,6-8千/月,07-23,无工作经验,初中及以下,客户代表;销售,招50人
前台行政文员,广州玮恒企业管理有限公司,广州-番禺区,2.8-4千/月,07-23,1年经验,大专,招聘专员/助理;人事专员;负责招聘工作,招1人
前台客服,武汉七彩魅力文化艺术咨询有限公司,武汉-洪山区,3-4.5千/月,07-23,1年经验,大专,前台接待/总机/接待生;前台;接待;文员;客服,招2人
文案,站擎（深圳）计算机技术有限公司,深圳-宝安区,0.8-1.2万/月,07-23,3-4年经验,本科,文案/策划;文笔功底深,招1人
运营管理部-估值岗,申港证券股份有限公司,上海,15-20万/年,07-23,无工作经验,招若干人,其他,07-23发布
销售代表/客户经理/BD/业务员,上海锐软智能科技有限公司,上海-闵行区,0.6-1.2万/月,07-23,1年经验,中专,销售代表;大客户销售;渠道销售;客户经理;BD;电话销售;话补,招1人
急/普工/月6K包吃住/妹纸多,广州真贝婴儿用品有限公司,东莞-长安镇,6-8千/月,07-23,无工作经验,初中及以下,普工/操作工;包装工,招50人
客户AE,北京吉溢广告有限公司,北京-朝阳区,4.5-6千/月,07-23,无工作经验,大专,广告客户主管/专员;客户媒体桥梁,招2人
销售主管-长沙,北京元气森林饮料有限公司,长沙-芙蓉区,0.6-1万/月,07-23,3-4年经验,大专,销售主管;销售主管,招5人
仓库组长,嘉里宜居供应链（深圳）有限公司,东莞-清溪镇,4.5-6千/月,07-23,3-4年经验,大专,仓库管理员;仓库组长;仓库管理员,招若干人
电话销售双休,陕西远安消防咨询有限公司,西安,4-6千/月,07-23,无工作经验,高中,客服专员/助理;电话销售;电话销售;电话客服,招2人
包住高薪网络客服专员,武汉易猫猫网络科技有限公司,武汉-武昌区,4.5-6千/月,07-23,无工作经验,大专,客服专员/助理;网络/在线销售;网络;线上;微信;销售,招3人
光谷10k高薪聘网络主播,武汉骏翔商贸有限公司国际企业中心分公司,武汉-洪山区,1-1.5万/月,07-23,无工作经验,招1人,主播/主持人;网络主播;才艺主播,07-23发布
业务代表（普宁）,广西丹泉酒业营销有限公司,揭阳,6-8千/月,07-23,1年经验,高中,销售代表,招若干人
中餐厨师,广州东江石油科技发展有限公司,广州,4-6千/月,07-23,无工作经验,招1人,中餐厨师,07-23发布
会计助理（3000-5000+奖金+住宿+晋升）,西安腾翔电子信息科技有限公司,西安-雁塔区,3-5千/月,07-23,无工作经验,招3人,财务经理;会计经理/会计主管;会计实习生,07-23发布
人事专员,甘肃天庆房地产集团有限公司,兰州,4.5-6千/月,07-23,无工作经验,招1人,人事专员;招聘专员/助理,07-23发布
施工图设计师,深圳宏一建设集团有限公司,深圳-龙华新区,0.6-1万/月,07-23,3-4年经验,大专,室内设计,招3人
技术支持工程师,上海盈沛贸易有限公司,上海-长宁区,1-1.5万/月,07-23,5-7年经验,本科,机械工程师;汽车/摩托车工程师;产品性能;技术参数;产品应用,招1人
外贸业务实习生,广州市荣耀电子商务有限公司,广州-白云区,4.5-6千/月,07-23,无工作经验,大专,贸易/外贸专员/助理;实习生;外贸;B2B;外贸业务员;批发;阿里国际站,招1人
三维重建工程师(CT图像）,广州沛东医疗科技有限公司,广州-越秀区,4.5-6千/月,07-23,无工作经验,中专,其他;医学影像,招5人
人事主管（工作地点：宿州）,北京龙鼎基业工贸有限公司,宿州,5-8千/月,07-23,3-4年经验,大专,人事主管;人力资源;人事主管,招1人
中信银行卡升级专员（新人保底5000）,深圳通联金融网络科技服务有限公司,深圳-南山区,1-1.5万/月,07-23,无工作经验,高中,电话销售;呼叫中心客服;电话销售,招10人
仓管员,深圳市左右家私有限公司,深圳,3.5-4.1千/月,07-23,1年经验,高中,仓库管理员;仓管员;出入库;仓库管理;仓管;入库管理,招2人
宜人贷顾问（双休、六险一金）,宜人贷,宁波-江北区,1-1.5万/月,07-23,无工作经验,大专,金融产品销售;信贷管理;金融顾问;销售;销售代表;销售顾问;销售经理;客户经理;电话销售;网络销售,招若干人
运营管培生,北京伏牛堂餐饮文化有限公司,北京-海淀区,4-6千/月,07-23,无工作经验,大专,培训生;学习能力强,招10人
采购助理,重庆桴之科科技发展有限公司,重庆-巴南区,3.5-5千/月,07-23,1年经验,大专,采购助理,招1人
光谷招商银行分期销售专员行政班客服电销经验包住,安徽奋勇企业管理咨询有限公司,武汉-江夏区,6-8千/月,07-23,无工作经验,高中,销售行政专员;咨询热线/呼叫中心服务人员;客服;文员;行政班;包住;后勤助理岗位,招30人
人事行政助理,厦门思音珠宝有限公司,厦门,3.5-6千/月,07-23,1年经验,高中,行政专员/助理;人事助理;人事行政,招1人
底薪3500+包住+高提成,郑州仁合房地产营销策划有限公司,郑州-二七区,0.4-1万/月,07-23,无工作经验,招30人,市场/营销/拓展专员;销售代表;销售代表;区域销售;销售;房产销售;置业顾问;客户代表;大客户代表;市场营销;销售经理,07-23发布
销售代表,深圳市贝特电子有限公司,深圳-宝安区,6-8千/月,07-23,1年经验,高中,销售代表;销售,招6人
教育顾问/报考季/成单快,坤泽教育,深圳-福田区,0.8-1.5万/月,07-23,无工作经验,高中,销售代表;网络/在线销售;电话销售;销售助理;销售代表;销售专员;销售顾问;在线客服;销售;咨询师;电话客服;实习生,招5人
销售代表,安克曼化工（上海）有限公司,上海-黄浦区,0.8-1万/月,07-23,1年经验,本科,销售代表;化工;销售,招2人
跨境电商运营,深圳市灰蚂蚁科技有限公司,深圳-福田区,6-8千/月,07-23,2年经验,大专,电子商务专员;电子商务总监;亚马逊;速卖通;阿里巴巴;电子商务;跨境贸易;跨境电商;WISH;产品专员;外贸;外贸专员,招4人
渠道经理/高级渠道经理（江苏） (MJ000454),星环信息科技（上海）有限公司,南京-雨花台区,1.6-3万/月,07-23,5-7年经验,本科,渠道/分销经理;渠道/分销主管;渠道;生态;SME;ISV;集成;SI,招1人
配送员（长期）,北京寻宝天行网络技术有限公司,北京-朝阳区,4-6千/月,07-23,无工作经验,招1人,其他;配送员,07-23发布
SMT主管,广州蓝勃生物科技有限公司,广州-黄埔区,5-7千/月,07-23,2年经验,招若干人,其他;SMT;贴片;三星,07-23发布
操作工+月薪5K+五险一金,宁波洋睿电子有限公司,宁波-慈溪市,0.8-1万/月,07-23,无工作经验,初中及以下,普工/操作工;包装工;检验;品保;普工,招8人
保健老师（Leaderkids 双语幼托-闵行）,上海毅进教育信息咨询有限公司,上海-闵行区,6-8千/月,07-23,无工作经验,大专,育婴师/保育员;护士/护理人员;双语托班;保健老师;幼教,招1人
