,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
431,销售文员（大丰项目）,四川合富辉煌房地产顾问有限公司,成都-新都区,3-4千/月,07-23,无工作经验,,销售行政专员;行政专员/助理;文员;内勤;行政专员,招1人
432,财务总监,南昌欧菲光科技有限公司,南昌-青山湖区,3-4万/月,07-23,10年以上经验,本科,财务总监;财务总监;合并报表,招1人
433,现场导购员 业务员 高薪高待遇,广州君易能源管理技术服务有限责任公司,广州-黄埔区,4-8千/月,07-23,无工作经验,,客户代表;导购员;业务员;卖场;现场,招3人
434,孵化器招商运营经理,陕西创业企业管理有限公司,西安-未央区,0.8-2万/月,07-23,2年经验,,物业招商/租赁/租售;咨询总监,招若干人
435,办公室文员,广西新思健医疗科技有限责任公司,南宁,2.5-4千/月,07-23,无工作经验,,行政专员/助理;文员;办公室文员,招2人
436,平面设计师,浙江静博士美容科技有限公司,杭州-下城区,0.8-1万/月,07-23,无工作经验,,平面设计师;平面设计,招1人
437,软件测试工程师,成都储迅科技有限责任公司,杭州,0.8-1.5万/月,07-23,3-4年经验,本科,软件测试;软件工程师,招若干人
438,销售精英（底薪4000+五险+高提成）,湖南丰之明酒业有限公司,长沙-开福区,0.4-2万/月,07-23,1年经验,大专,销售代表;渠道销售;电话销售;直销销售;销售;白酒;快消品,招10人
439,商务文员,广州锐优联健康产业投资有限公司,广州-海珠区,4.5-6千/月,07-23,1年经验,大专,商务主管/专员;商务助理;商务、文员,招1人
440,售后安装,沈阳启腾机电设备有限公司,沈阳-铁西区,2-4.5千/月,07-23,1年经验,大专,售前/售后技术支持工程师;售后、安装,招若干人
441,门窗工艺员,上海迪探节能科技有限公司,上海-松江区,0.6-2万/月,07-23,3-4年经验,大专,产品工艺/制程工程师;建筑设计师,招若干人
442,办公室文员,佛山市正意皮革制品有限公司,佛山-南海区,3-4.5千/月,07-23,无工作经验,高中,行政专员/助理;办公室文员,招10人
443,服装工艺师,天津市金舵手服装有限公司,天津-河西区,4.5-6千/月,07-23,无工作经验,中专,服装/纺织/皮革工艺师;服装工艺师,招2人
444,安全员,惠州卓佳装饰设计工程有限公司,惠州,2.5-5千/月,07-23,无工作经验,大专,安全员;安全;安全主任;安全员,招1人
445,机票操作员,西安祥龙航空票务有限公司,西安-雁塔区,3-4.5千/月,07-23,1年经验,高中,票务;订机票,招5人
446,生产文员,浙江福莱新材料股份有限公司,嘉兴,4-6千/月,07-23,无工作经验,,生产文员,招若干人
447,HRBP(J12558),正大畜牧投资（北京）有限公司,北京,1.5-2万/月,07-23,无工作经验,,HRBP;人事经理,招1人
448,电商设计师,上海花钿谷电子商务有限公司,上海-闵行区,0.8-1万/月,07-23,2年经验,本科,网页设计/制作/美工;平面设计师;电商设计师,招1人
449,销售经理 (年入8-15万元),四川道能科润滑科技有限公司,成都,0.6-1.2万/月,07-23,2年经验,大专,大客户管理;大客户销售;大客户销售;销售经理;重点客户销售;工业销售;工业品销售;润滑油销售;工业油销售;仪器仪表销售;大客户经理,招4人
450,来中原一年买车三年买房不是梦,上海中原物业顾问有限公司-北区招聘,上海,1-1.5万/月,07-23,无工作经验,高中,房地产中介/置业顾问;大客户销售;房产销售;大客户销售;电话销售;网络销售;一手房销售;销售代表,招20人
451,置业顾问,沈阳市大东区蓝山房产信息服务中心,沈阳-大东区,1.5-2万/月,07-23,无工作经验,高中,房地产中介/置业顾问;房地产店长/经理;房地产销售;房产经纪人;置业顾问;储备店长;销售代表;房地产中介,招3人
452,国企上市销售主管/地区经理/营销,湖南爱世为民生物技术有限公司,株洲,7-10万/年,07-23,5-7年经验,大专,销售主管;区域销售经理;销售;市场;业务,招1人
453,新媒体运营实习生,杭州优能达食品有限公司,杭州-下城区,1.5-2.5千/月,07-23,无工作经验,,新媒体运营;网络推广;SEO;文案;策划;实习生;应届毕业生;新媒体运营,招1人
454,急聘销售业务员（国际物流方向）,深圳市浩川联运国际物流有限公司,深圳-宝安区,0.6-1.5万/月,07-23,1年经验,,物流专员/助理;销售代表;大客户销售;销售;货代;国际货代;货运代理;物流专员;物流业务经理;物流主管;物流销售;国际物流,招若干人
455,电工,杭州莱维光电技术有限公司,杭州-余杭区,4.5-7千/月,07-23,3-4年经验,大专,电力工程师/技术员;维修工程师;机电设备,招若干人
456,销售工程师+无责任底薪5000+高提成+周末双休+社保,派尔实验装备有限公司,成都-高新区,4.5-6千/月,07-23,无工作经验,大专,销售代表;销售工程师;销售;渠道销售;销售经理;业务员;业务代表;终端销售;销售人员;销售工程师,招3人
457,外贸业务员,深圳市锦鸿泰科技有限公司,深圳-龙华新区,0.5-1万/月,07-23,1年经验,大专,销售代表;外贸业务员;外贸跟单;外贸专员;外贸跟单员,招2人
458,会奖计调,中旅体育旅行社有限公司上海分公司,上海-静安区,6-8千/月,07-23,5-7年经验,大专,行程管理/计调;资深企划;计调操作;销售经理;客户经理,招2人
459,外贸业务员,亮晶晶时尚贸易有限公司,武汉-洪山区,0.5-2万/月,07-23,无工作经验,大专,贸易/外贸专员/助理;贸易/外贸经理/主管;外贸;贸易;销售;业务;营销;进出口;英语;电商;阿里巴巴;亚马逊,招20人
460,销售顾问,深圳泛员网网络科技有限公司,深圳-福田区,4-6千/月,07-23,无工作经验,本科,大客户销售;电话销售,招5人
461,急聘--销售人员,郑州森塔化工有限公司,郑州-金水区,6-8千/月,07-23,无工作经验,大专,电话销售;网络/在线销售;销售员;业务员;区域经理;电话销售;网络销售;销售代表,招5人
462,业务经理（周末双休）,东莞市瑞朋投资咨询有限公司,东莞-南城区,1.5-2万/月,07-23,1年经验,大专,销售代表;销售经理;销售主管;销售经理;团队经理;团队主管;业务主管;业务经理,招3人
463,生产技术员,苏州工业园区源荣科创机电有限公司,苏州-工业园区,6-8千/月,07-23,2年经验,中技,技工;生产技术员;装配;调试,招2人
464,区域销售经理,宁波晟富贸易有限公司,宁波-镇海区,0.8-1万/月,07-23,3-4年经验,高中,渠道/分销专员;拓展市场,招3人
465,FPGA工程师,卡莱特(深圳)云科技有限公司,深圳-南山区,1-2万/月,07-23,1年经验,本科,高级硬件工程师;硬件工程师;FPGA;电子;芯片编程;VHDL;Verilog;仿真验证;视频处理,招5人
466,国际贸易业务员 （周末双休 五险一金）,青岛雷特化工有限公司,青岛-市南区,3-8千/月,07-23,2年经验,本科,贸易/外贸经理/主管;贸易/外贸专员/助理;外贸;外贸业务员;出口;贸易;国贸;国际贸易;国贸业务员;外贸跟单;周末双休;带薪年假,招2人
467,课程顾问,无锡乐学一方汇培训中心有限公司,无锡-惠山区,0.3-1.5万/月,07-23,1年经验,初中及以下,培训/课程顾问;课程销售,招10人
468,房地产销售 底薪3500+高提成,绍兴房德多网络科技有限公司,宁波-慈溪市,1-1.5万/月,07-23,无工作经验,高中,房地产中介/置业顾问;房地产销售;置业顾问;房产销售;房产经纪人;理财顾问,招25人
469,外贸业务跟单员,"MCL Marine(HK) Co., Limited",上海-静安区,8-10万/年,07-23,无工作经验,大专,业务跟单;助理业务跟单;外贸;销售;英语;船舶;泰语;西班牙语;钢材,招1人
470,客服专员,上海裕络物流有限公司,长春,4-4.5千/月,07-23,2年经验,大专,物流专员/助理;客服;库管,招2人
471,贝壳+德佑房产销售/储备业务经理,昆山朴易房地产中介服务有限公司,昆山,6-8千/月,07-23,无工作经验,高中,销售代表;销售主管;电话销售;房产销售;业务经理;储备,招10人
472,新媒体文案运营  6-8k+五险+内部培训,长沙软实力教育咨询有限公司,长沙-天心区,6-8千/月,07-23,无工作经验,本科,文案/策划,招1人
473,制程工程师//汽车电子,铱斯电子科技（上海）有限公司,上海-宝山区,6-9千/月,07-23,3-4年经验,本科,产品工艺/制程工程师,招1人
474,日语翻译,恩梯梯数据必易恩（中国）信息技术有限公司,沈阳,4-6千/月,07-23,2年经验,大专,日语翻译;日语,招3人
475,急聘  电工,武汉理工新能源有限公司,武汉-武汉经济开发区,3-4.5千/月,07-23,2年经验,本科,机电工程师,招1人
476,人力行政专员/主管（北京）,重庆君怀科技有限公司,北京-朝阳区,0.6-1万/月,07-23,3-4年经验,大专,人事专员,招1人
477,策划经理,雪松控股集团-雪松地产集团,广州-白云区,1.5-2万/月,07-23,5-7年经验,大专,市场企划经理/主管,招1人
478,急聘应届生：SMT技术支持服务工程师 (东莞）,先进装配系统有限公司ASM Assembly Systems Ltd.,东莞,0.5-1万/月,07-23,无工作经验,本科,工程/设备工程师;机械工程师;售后;技术支持;设备工程师,招2人
479,销售助理（无销售性质）,四川省瑞方人力资源管理有限公司,成都-武侯区,3-4千/月,07-23,1年经验,大专,销售助理;销售行政助理;销售,招1人
480,天津月星商场招聘运营总监,北京京开方盛文化发展有限公司,天津-武清区,0.8-1万/月,07-23,3-4年经验,高中,首席执行官CEO/总裁/总经理,招2人
481,汤姆客少儿英语（英语教师）,西安汤姆客少儿英语,西安-雁塔区,5-8千/月,07-23,1年经验,本科,外语培训师;幼教;英语老师;英语培训;少儿老师;少儿培训;主教;助教;外语老师;外语培训;英语,招10人
482,绿地中心诚聘销售助理,郑州咕咕狗筑猎企业管理咨询有限公司,郑州-郑东新区,0.3-1万/月,07-23,1年经验,大专,销售代表,招10人
483,钢琴老师（合伙人/股权激励）,广州市增城斑的马琴行,广州-增城,0.6-1.2万/月,07-23,1年经验,大专,音乐/美术教师;培训/课程顾问;钢琴;音乐;钢琴老师;成人钢琴;店长;音乐;培训;教育;幼教;音乐老师,招若干人
484,某事业单位景点售票员,宁波浙外人力资源服务有限公司,宁波-象山县,2-3千/月,07-23,无工作经验,大专,店员/营业员,招3人
485,研发经理/工程师,上海乐瑞固化工有限公司,上海-松江区,1-2万/月,07-23,2年经验,硕士,化工实验室研究员/技术员;其他;研发;高分子;橡胶;聚氨酯;复合材料,招1人
486,平面美工,广州市瑞尔服饰有限公司,广州-白云区,4-8千/月,07-23,2年经验,,网页设计/制作/美工,招1人
487,销售专员,深圳中原文达航运代理有限公司,深圳-福田区,6-8千/月,07-23,无工作经验,,物流专员/助理;空运销售,招5人
488,硬件调试工程师,北京华铁信息技术有限公司,北京-海淀区,6-8千/月,07-23,无工作经验,大专,技术支持/维护工程师;测试员;硬件设备调试;系统调试,招2人
489,电话销售（销售经理）双休+高提成,广州享迅信息科技有限公司,广州-天河区,4-8千/月,07-23,1年经验,大专,销售代表;电话销售;渠道销售;直销销售;电话销售;大客户经理;销售代表;客户代表;网络销售;销售工程师,招6人
490,平面设计主管（五险一金）,来雅百货有限公司,厦门,6-8.5千/月,07-23,3-4年经验,大专,平面设计经理/主管;平面设计主管;平面设计,招1人
491,业务代表/有社保/地铁附近,广州市远固劳保用品有限公司,广州-荔湾区,1-1.5万/月,07-23,1年经验,大专,销售代表;客户代表;销售;业务;电话销售,招3人
492,销售主管,江门健威家具装饰有限公司 天津分公司,天津-河东区,4.5-5千/月,07-23,无工作经验,,销售主管,招若干人
493,化妆品营业员/美容师,佛山草木堂生物科技有限公司,佛山,0.8-1万/月,07-23,无工作经验,初中及以下,美容顾问;美容店长,招10人
494,人事主管,广州恒德建材有限公司,广州-天河区,7-12万/年,07-23,无工作经验,,人事主管;人力资源,招1人
495,外贸业务员,义乌市爱信宠物用品有限公司,义乌,6-8千/月,07-23,1年经验,大专,贸易/外贸专员/助理;贸易/外贸经理/主管;外贸业务;业务开发;国际贸易;助理专员,招3人
496,乐高EV3机器人构建师/创客教师,汕头市爱尔乐教育科技有限公司,汕头,4-5千/月,07-23,无工作经验,大专,幼教;中学教师;幼教;老师;学龄老师;乐高;机器人教育;学教教师,招4人
497,人事行政经理,上海雅仕维广告有限公司,上海,0.8-1万/月,07-23,无工作经验,初中及以下,算法工程师,招1人
498,生产线长,重庆华恒远大建筑科技有限公司,重庆-荣昌区,3-4.5千/月,07-23,1年经验,大专,其他,招1人
499,工业会计,四川厚天科技股份有限公司,成都,4.5-6千/月,07-23,3-4年经验,大专,会计经理/会计主管;会计;会计;工业会计,招1人
500,银行销售专员丨双休丨六险一金H,武汉鸿信联电子商务有限公司,北京-丰台区,0.8-1万/月,07-23,无工作经验,大专,电话销售;销售代表;销售;六险一金;双休;丰台;公益西桥;地铁4号线;客服;电话,招10人
501,亚马逊美工/电商美工/平面设计,深圳小藤子科技有限公司,深圳-龙岗区,0.6-1.5万/月,07-23,1年经验,大专,平面设计师;网店美工;美工;平面设计;摄影;亚马逊;外贸,招5人
502,金融销售实习生/底薪3K+双休,中国平安人寿保险股份有限公司江苏分公司,南京-鼓楼区,4.5-6千/月,07-23,无工作经验,大专,销售代表;大学/大专应届毕业生;保险;理财;贷款;银行;投资,招5人
503,库管,无锡蠡湖增压技术股份有限公司,无锡-滨湖区,3-4.5千/月,07-23,无工作经验,高中,仓库管理员;仓管,招2人
504,区域代理,中国太平洋人寿保险广东分公司区域拓展部,广州-天河区,0.8-1万/月,07-23,无工作经验,,大客户管理;客户经理/主管;顾问;销售;代表;高薪;售后;区域;跟单;金融;专员,招5人
505,财务会计,山西佳美新南广告印刷有限公司,太原,4-5千/月,07-23,3-4年经验,大专,会计;会计,招1人
506,互联网产品助理,厦门崛鼎信息科技有限公司,厦门,5-8千/月,07-23,2年经验,本科,产品专员;产品助理;产品;产品专员,招若干人
507,电话销售(双休+五险一金）,上海万果企业管理咨询有限公司,宁波-鄞州区,0.8-1万/月,07-23,1年经验,大专,电话销售;电话销售,招5人
508,京东运营专员,雅士利国际集团有限公司,广州-越秀区,0.8-1万/月,07-23,无工作经验,,其他,招若干人
509,生产组长,广州亨咏旅游制品有限公司,广州-白云区,4-6千/月,07-23,3-4年经验,高中,生产领班/组长;生产领班组长,招1人
510,销售专员/经理（双休+5险1金）,广州劲翔智能包装机械有限公司,广州-黄埔区,0.5-2万/月,07-23,1年经验,大专,销售代表,招3人
511,师资顾问,深圳市华师兄弟文化传播有限公司,深圳-龙华新区,0.5-1万/月,07-23,无工作经验,,销售代表,招若干人
512,Web前端开发工程师,广州天信保险公估有限公司,广州-天河区,6-8千/月,07-23,3-4年经验,大专,其他;H5;小程序;VUE,招2人
513,市场主管,杭州几拇艺术培训有限公司,杭州-余杭区,0.8-1万/月,07-23,3-4年经验,大专,市场/营销/拓展主管,招1人
514,钳工学徒,广州市申发机电有限公司,广州-花都区,2-3千/月,07-23,无工作经验,,组装工;技工,招若干人
515,销售顾问（双休 底薪5000起）,广州远智教育科技有限公司,广州-黄埔区,0.5-1万/月,07-23,1年经验,中专,销售代表;电话销售;销售;招生;网络销售;微信推广;网络营销;招生推广,招3人
516,实习生,Lacoste China梦田服装（上海）有限公司,广州-天河区,20元/小时,07-23,无工作经验,,实习生;实习生;行政助理;零售,招1人
517,行政前台,金马节能科技（深圳）有限公司,深圳-南山区,3.5-5千/月,07-23,1年经验,大专,行政专员/助理;前台接待/总机/接待生;行政;人事,招1人
518,w大众普工包吃住买五险月薪5千,湖南大湘机电有限公司,长沙-长沙县,4.5-6千/月,07-23,无工作经验,,普工/操作工,招10人
519,数据分析师助理,广州汇骏信息咨询服务有限公司,广州-天河区,6-8千/月,07-23,无工作经验,中专,证券/期货/外汇经纪人;股票/期货操盘手;金融;理财;实习生;投资;期货;分析师;证券;应届毕业生;助理;操盘手,招3人
520,中国平安 正编员工 普惠金融 前线销售/后线催收客服,平安普惠融资担保有限公司苏州分公司,苏州-姑苏区,3.5-7千/月,07-23,无工作经验,大专,销售代表;金融产品销售;直销;渠道;银行;金融;信贷;销售;风控;催收,招3人
521,渠道销售专员,广州植德医疗美容门诊部有限责任公司,东莞-东城区,1.5-2万/月,07-23,1年经验,初中及以下,渠道/分销专员;销售代表;渠道销售,招5人
522,估价师助理,深圳市国策房地产土地估价有限公司,南昌-红谷滩新区,4-8千/月,07-23,1年经验,大专,房地产评估;房地产中介/置业顾问,招5人
523,办公室文员,陕西加美实业有限公司,西安-莲湖区,3-4.5千/月,07-23,5-7年经验,高中,后勤;办公室;文员;后勤;后勤人员,招2人
524,会计,合肥勤智财务咨询服务有限公司,合肥-蜀山区,3.5-4.5千/月,07-23,1年经验,,会计;其他;做账会计;代账会计;会计;总账会计;做账报税,招2人
525,徐汇区诚聘猎头助理,锐仕方达（北京）人力资源顾问有限公司上海第一分公司,上海-徐汇区,4.5-6千/月,07-23,1年经验,本科,猎头/人才中介;猎头,招3人
526,销售顾问/储备店长,广州美诗固智能家居有限公司,广州-天河区,6-8千/月,07-23,1年经验,高中,销售代表;销售经理;直销销售;导购,招若干人
527,美容院前台（世纪大道））,上海美丽田园美容发展有限公司,上海-徐汇区,4.5-6千/月,07-23,1年经验,,前台迎宾,招1人
528,销售代表,北京易鸣尚佳电气有限公司,北京-西城区,6-8千/月,07-23,无工作经验,高中,渠道/分销专员;客户代表;销售助理;业务员;销售经理;室内外灯具;建筑建材等,招4人
529,服务顾问,四川珅豪汽车销售服务有限公司,成都-双流区,0.4-1.2万/月,07-23,2年经验,大专,售后服务/客户服务;汽车;售后;服务;接待,招2人
530,保理员,济南驹马物流有限公司,济南-天桥区,4.5-6千/月,07-23,1年经验,本科,风险管理/控制;风险控制,招1人
531,服装生产管理,广州摩斯服饰有限公司,广州-番禺区,6-9千/月,07-23,无工作经验,,服装/纺织/皮革跟单;服装生产管理,招1人
532,会计,苏州宝旭电子科技有限公司,苏州-相城区,4.5-6千/月,07-23,3-4年经验,大专,会计,招1人
533,人力资源专员+着重培养+提供住宿,济南振拓信息科技有限公司,济南-历城区,4-6千/月,07-23,无工作经验,,人事专员;企业文化/员工关系/工会管理;人事;管理;团队建设;发展空间大;培养机制完善,招3人
534,急招会计助理+五险+地铁口+补贴,长沙迪昊通讯设备有限公司,长沙-芙蓉区,4.5-5.5千/月,07-23,1年经验,中专,资金专员;会计;会计主管;资金专员;应付会计;应收会计,招1人
535,买卖经纪人（新人月均8000+出国游）,南京链家房地产经纪有限公司,南京-秦淮区,0.8-1万/月,07-23,无工作经验,,客户代表;房地产销售;渠道销售;直销销售;电话销售;房产经纪人;买卖经纪人;租赁经纪人,招6人
536,财务主管,上海瑞联医疗技术有限公司,上海-长宁区,0.8-1万/月,07-23,3-4年经验,本科,财务主管/总账主管;会计,招1人
537,理疗师,清远市诚惠药材有限公司,清远,4.5-6千/月,07-23,无工作经验,,针灸/推拿;理疗师,招5人
538,空运销售(宁波分公司),深圳市柏威国际货运代理有限公司,宁波-鄞州区,3.5-7千/月,07-23,1年经验,大专,销售代表;货运代理;空运销售代表;货运代理销售;客户代表,招3人
539,商务销售经理（带团队）,广州派代教育有限公司,广州-海珠区,1-2万/月,07-23,3-4年经验,大专,销售经理;商务销售;网络销售;客户销售;销售主管;销售经理,招1人
540,供应链经理,杭州纳非信息科技有限公司,宁波,0.8-1.5万/月,07-23,无工作经验,,供应链经理;采购经理,招若干人
541,音响结构工程师,广州市创宏电子有限公司,广州-花都区,,07-23,2年经验,高中,工艺工程师,招1人
542,成人英语口语老师（六校区就近安排）,磁课英语（云地教育旗下O2O品牌）,成都-锦江区,0.8-1.5万/月,07-23,1年经验,本科,外语培训师;兼职教师;英语老师;英语教师;外语培训师;口语老师;成人口语老师;英文老师;磁课英语,招2人
543,贷款专员 金融销售（高收入）,平安普惠投资咨询有限公司苏州爱河桥路分公司,苏州-姑苏区,1.5-3.5万/月,07-23,无工作经验,大专,销售代表;金融产品销售;信用贷款;抵押贷款;渠道推广;电话销售;老客户维护;电话回访;晋升快,招3人
544,急聘银行催收客服,深圳通联金融网络科技服务有限公司,长沙-岳麓区,0.5-1.1万/月,07-23,无工作经验,大专,咨询热线/呼叫中心服务人员,招15人
545,人事专员,四川软游互创科技有限公司,成都-成华区,3-4.5千/月,07-23,1年经验,大专,人事专员;招聘专员/助理;人力资源,招1人
546,渠道销售,上海华冰清贸易有限公司,上海-杨浦区,4.5-6千/月,07-23,1年经验,大专,渠道/分销专员;销售代表;渠道销售,招2人
547,营销主管,盛京银行股份有限公司信用卡中心,天津-河西区,1-1.5万/月,07-23,1年经验,大专,信用卡销售,招1人
548,高级课程顾问（南山白石洲）,深圳市玩胜体育发展有限公司,深圳-南山区,1-1.5万/月,07-23,2年经验,大专,销售代表;培训/课程顾问;电话销售面销,招2人
549,全球500强人力资源公司 服务顾问,万宝盛华企业管理咨询（上海）有限公司,上海-浦东新区,0.6-1万/月,07-23,1年经验,本科,薪资福利专员/助理,招若干人
550,广发银行电话销售/薪资7k起+双休,甘肃亚恒云网络科技有限公司,广州-越秀区,6-8千/月,07-23,无工作经验,高中,保险电销;大客户销售,招若干人
551,汽车维修工,北京苹果园丰田汽车销售服务有限公司,北京-石景山区,2-3千/月,07-23,1年经验,中专,汽车修理工;汽车电工;学徒,招3人
552,五和大学生团队下手   导师带教   经验不限,深圳市乐有家控股集团有限公司,深圳-龙华新区,0.8-1万/月,07-23,无工作经验,大专,实习生;大学/大专应届毕业生,招6人
553,行政人事专员,埃摩森网络科技（上海）有限公司,深圳-南山区,6-8千/月,07-23,1年经验,本科,行政专员/助理;行政;人事;opbp,招1人
554,资料员,湖北中南钢结构有限公司,广州-番禺区,4.5-6千/月,07-23,2年经验,中专,资料员;资料员材料员,招2人
555,工商银行电话客服专员8千+五险一金+文员,安徽斯摩恩信息科技有限公司,合肥-滨湖新区,6-8千/月,07-23,无工作经验,高中,客服专员/助理;咨询热线/呼叫中心服务人员;电话客服专员;客服助理;文员;银行客服;咨询客服;售后客服;呼叫中心客服;工商银行客服,招20人
556,行政管理部,上海谦屿市容服务管理有限公司,上海-宝山区,10-15万/年,07-23,8-9年经验,大专,总监/部门经理;行政经理/主管/办公室主任,招1人
557,电商美工设计PS作图（4K-6K）,火鹰国际贸易有限公司,深圳-龙华新区,6-8千/月,07-23,1年经验,大专,平面设计师;网店美工;电商美工;平面设计;淘宝美工;PS;作图,招2人
558,安装工程造价编审人员,建业恒安工程管理股份有限公司（简称：建业恒安）,泰州,1-1.5万/月,07-23,5-7年经验,大专,工程造价师/预结算经理,招2人
559,房产经纪人,昆明荣城房地产经纪有限公司颐达园店,昆明-五华区,0.3-1.5万/月,07-23,1年经验,高中,房地产中介/置业顾问;中介,招6人
560,出纳,中装万亿达（上海）数字科技股份有限公司,上海-嘉定区,4.5-6千/月,07-23,1年经验,大专,会计,招1人
561,健康财富规划师,深圳至立新科技有限公司,深圳-福田区,3-4万/月,07-23,5-7年经验,本科,投资/理财顾问;风险管理/控制;健财师,招3人
562,shopify推广 Facebook广告投放 独立站推广,深圳市星益电子商务有限公司,深圳-龙华新区,0.8-1.2万/月,07-23,1年经验,大专,网络推广专员;网站运营专员;独立站推广;广告投放;Facebook推广;网络推广专员;SEO;SEM;CPC;PPC广告优化;运营;数据分析,招2人
563,业务合伙人,浙江亿红文化传播有限公司,嘉兴,6-8千/月,07-23,无工作经验,,其他,招2人
564,人事经理,北京鼎硕文豪图书有限公司,廊坊,6-8千/月,07-23,2年经验,大专,人事经理;人事主管;人事经理;人事主管;人事总监;办公室主任;行政,招1人
565,平安普惠储备主管500强正编 金融界黄埔军校 万元薪酬,平安普惠投资咨询有限公司广州花城大道分公司,广州-天河区,10-15万/年,07-23,无工作经验,本科,金融产品销售;个人业务客户经理;五险一金;带薪年假;定期旅游;员工体检;高温补贴;平安正编,招5人
566,急招门店店长,广东链上汽车科技有限公司,广州-增城,1-1.5万/月,07-23,无工作经验,,汽车销售/经纪人;销售总监;汽车;店长;销售;管理;销售经理;4S店;直销;线上,招1人
567,北区销售经理,紫薰堂（上海）生物科技有限公司,上海-普陀区,1-1.5万/月,07-23,3-4年经验,大专,区域销售经理;北区销售经理,招1人
568,高级招聘专员,湖南盛大金禧金融服务有限公司,长沙,4.5-6千/月,07-23,无工作经验,,招聘专员/助理;招聘,招1人
569,业务经理+高提成+五险双休+年终奖+国外游,中企万业（北京）企业管理有限公司,北京-朝阳区,4.5-6千/月,07-23,无工作经验,,销售代表;业务经理;业务员;销售代表;销售经理;销售人;房产销售;中介服务,招5人
570,网络客服专员,上海证券通投资资讯科技有限公司江西分公司,南昌-青云谱区,3-4.5千/月,07-23,无工作经验,高中,网络/在线客服;网络客服,招5人
571,坂田高薪高提成销售 导师带教+7500,深圳市乐有家控股集团有限公司,深圳-龙岗区,0.8-1万/月,07-23,1年经验,,业务分析专员/助理;大客户销售;储备干部;营销管培生;业务拓展经理;客户服务助理;应届毕业生;大客户经理;实习生,招3人
572,实习测量员,广东鸿兴实业集团有限公司,阳江,2-3千/月,07-23,无工作经验,大专,测绘/测量;质量检验员/测试员;测绘;测量;房地产;建筑行业;实习生;应届毕业生,招3人
573,招聘经理,上海吉马国际酒业发展有限公司,上海-嘉定区,0.8-1万/月,07-23,3-4年经验,大专,招聘经理/主管;招聘经理;人事,招1人
574,滨江西兴路——急招7-9k配送员,杭州青未广告策划有限公司,杭州-滨江区,7-9千/月,07-23,无工作经验,中专,送餐员;理货员;配送员高薪,招10人
575,导播助理,杭州稻穗商务信息咨询有限公司,杭州-余杭区,3-5千/月,07-23,无工作经验,大专,导演/编导;影视策划/制作人员,招1人
576,航空服务类教师（可专职或***）,成都机电工程学校,成都-郫都区,3.5-6千/月,07-23,无工作经验,,职业技术教师,招20人
577,人事实习生,苏州迈塔光电科技有限公司,苏州-工业园区,2.6-3.2千/月,07-23,无工作经验,本科,人事助理;人事实习生,招1人
578,应届生 实习生 求职 薪酬贼好,深圳市乐有家控股集团有限公司,深圳,0.8-1万/月,07-23,无工作经验,大专,渠道/分销经理;渠道/分销专员;销售代表;销售经理;储备店长;实习生;应届生;管理培训生,招9人
579,课程顾问,欧那教育,上海-普陀区,1-1.5万/月,07-23,1年经验,大专,电话销售;专业顾问;周末双休;绩效奖金;专业培训;立即上岗;员工旅游,招10人
580,人事实习生,必维申美商品检测（上海）有限公司南京分公司,南京-江宁区,3-3.5千/月,07-23,无工作经验,大专,实习生;人事助理,招1人
581,电话销售 链家/贝壳 高薪高提成,南京链家房地产经纪有限公司,南京-秦淮区,0.6-1.1万/月,07-23,无工作经验,大专,房地产销售;大学/大专应届毕业生;房地产;房产销售;销售代表;房产经纪人,招5人
582,万象城轻奢服装导购7000+,沈阳维思莱户外体育用品有限公司,沈阳-浑南区,0.5-1万/月,07-23,无工作经验,,店员/营业员;导购员;导购;营业员;服装,招3人
583,空间设计师,广州市尺度展示道具有限公司,广州-白云区,4-9千/月,07-23,2年经验,大专,展览/展示/店面设计;室内设计;空间设计;3D效果图设计;室内设计;3D设计;设计师,招3人
584,测量员/测量队长,中国建筑第七工程局有限公司西南分公司,云南省,10-20万/年,07-23,无工作经验,,测绘/测量,招若干人
585,应届实习生/置业顾问/房产销售/底薪4000起,南京链家房地产经纪有限公司,南京,6-8千/月,07-23,无工作经验,大专,销售代表;客户代表;就近安排;无责底薪;专业带教;定期团建;房产销售,招3人
586,物流储备干部,浙江博宜通供应链管理有限公司,杭州-临安区,3-4.5千/月,07-23,1年经验,大专,其他,招2人
587,招商营运专员,武汉博源嘉泰实业有限公司,武汉-东湖新技术产业开发区,4.5-6千/月,07-23,无工作经验,大专,物业招商/租赁/租售;物业管理专员/助理;招商营运;商业地产;购物中心;商业街;物业管理;商户管理,招3人
588,合同签26元/时包吃住 直招普工临时工小时工正式工,广东弘洋科技有限公司,深圳-龙华新区,6.4-7.8千/月,07-23,无工作经验,初中及以下,普工/操作工;组装工;手机厂;电子厂;普工;正式工;临时工;小时工;包吃住;坐班;长白班;仓管,招200人
589,国际贸易专员,青岛汉德维尔服饰有限公司,青岛-市北区,0.7-1.4万/月,07-23,1年经验,大专,业务跟单经理;五险,招3人
590,助理,中国人寿保险股份有限公司上海市浦东支公司,上海-浦东新区,4.5-6千/月,07-23,1年经验,高中,行政专员/助理;经理助理/秘书,招3人
591,咨询顾问,广东启德教育服务有限公司昆明分公司,昆明-五华区,6-8千/月,07-23,无工作经验,,专业顾问,招3人
