,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
4162,销售实习生 带薪培训 底薪3K+住宿+五险+提成+补助,沈阳帕耐尔科技有限公司,沈阳-皇姑区,5-8千/月,07-23,无工作经验,,销售代表;渠道销售,招12人
4163,销售工程师,瑞铂（上海）工具贸易有限公司,上海-闵行区,5-7千/月,07-23,3-4年经验,大专,销售工程师;销售代表;渠道销售,招1人
4164,内勤文员,重庆连信金诚科技有限公司,重庆-渝中区,3-4.5千/月,07-23,1年经验,大专,咨询热线/呼叫中心服务人员,招4人
4165,产品经理(6K+),成都环宇世纪商务咨询有限公司,成都-高新区,0.6-1万/月,07-23,无工作经验,中专,风险管理/控制;外汇交易;资产管理;金融;外汇交易;操盘手,招若干人
4166,家庭教育指导师,龅牙兔儿童情商乐园深圳分公司,深圳-南山区,0.7-1.4万/月,07-23,无工作经验,本科,培训/课程顾问;电话销售;课程顾问;专业咨询,招4人
4167,储备干部+销售精英+3000无责任底薪,诺嘉智能养生发展有限公司徐州分公司,徐州,6-8千/月,07-23,无工作经验,大专,大客户管理;培训经理/主管,招3人
4168,瑜伽教练,陕西咏哲文化传播有限公司,咸阳,4.5-6千/月,07-23,无工作经验,,瑜伽老师;健身顾问/教练,招1人
4169,亚马逊运营专员,广东玫狮家居有限公司,深圳-龙华新区,0.6-1.3万/月,07-23,1年经验,本科,网站运营专员;网络/在线销售,招若干人
4170,资料员,深圳市四季耕耘环境教育有限公司,深圳-坪山区,4-5千/月,07-23,1年经验,大专,资料员;资料员,招1人
4171,银行账单分期客服6K+,深圳通联金融网络科技服务有限公司,厦门,6-8千/月,07-23,无工作经验,中专,呼叫中心客服;电话销售;银行;电话;信用卡;账单分期;建行;外呼;呼叫中心;销售;鹭江道,招10人
4172,资源开发主管,南京腾旭科技有限公司,南京-浦口区,0.8-1万/月,07-23,3-4年经验,本科,其他,招1人
4173,自由设计师,杭州前瞻装饰有限公司,杭州-下城区,40-50万/年,07-23,10年以上经验,本科,室内设计;不坐班;时间自由;业务能力强,招10人
4174,高级客户服务代表（周末双休),联邦快递（中国）有限公司,北京-顺义区,4.5-6千/月,07-23,1年经验,大专,客服专员/助理,招1人
4175,品牌服装模特拍摄,杭州象田文化创意有限公司,杭州-江干区,0.8-1万/月,07-23,无工作经验,,网店模特;模特;淘宝平面拍摄;网拍淘宝服装;品牌高薪穿版;***买家秀;微胖大码女装;街拍外景基地,招5人
