职位,公司,城市,工资,发布日期,经验要求,学历
Python开发工程师,安徽智帅实业有限公司,合肥-包河区,4.5-6千/月,07-19,1年经验,大专
Python后端程序员（实习生）,南昌因由科技有限公司,南昌-青山湖区,4.5-6千/月,07-19,无工作经验,高中
python开发(J10431),视联动力信息技术股份有限公司,杭州-江干区,1-1.5万/月,07-19,无工作经验,大专
Python工程师,上海乐言信息科技有限公司,上海-长宁区,2-4万/月,07-19,3-4年经验,本科
Python-数据分析师,深圳市智灵时代科技有限公司,深圳,0.8-1万/月,07-19,无工作经验,本科
Python后端工程师（Web方向）,优刻得科技股份有限公司,上海,2-4万/月,07-19,无工作经验,本科
Python开发工程师,上海量锐信息科技有限公司,上海-黄浦区,1.2-1.8万/月,07-19,2年经验,本科
python开发,深圳樱吉尔企业咨询管理有限公司,深圳-福田区,1.1-1.8万/月,07-19,3-4年经验,本科
校招-Python开发工程师,乐鑫信息科技（上海）股份有限公司,上海-浦东新区,1.3-2万/月,07-19,无工作经验,本科
Python后台Web开发工程师,深圳市风云实业有限公司,成都-青羊区,0.8-1.1万/月,07-19,无工作经验,本科
Python算法工程师,深圳前海川谷信息技术有限公司,北京-朝阳区,1.5-2万/月,07-19,2年经验,本科
Python开发工程师,南京亚信云天信息科技有限公司,南京,0.8-2万/月,07-19,无工作经验,大专
Python算法工程师,南京烽火星空通信发展有限公司,南京-建邺区,1.2-2万/月,07-19,3-4年经验,本科
资深Python研发工程师,上海史肯图信息技术有限公司,上海-宝山区,1-1.5万/月,07-19,5-7年经验,本科
python爬虫工程师,上海商有网络科技有限公司,上海-嘉定区,1.5-2.2万/月,07-19,3-4年经验,本科
Python开发工程师,武汉楚小橙品牌推广有限公司,武汉,4.5-8千/月,07-19,无工作经验,本科
Python开发工程师,亚创（上海）工程技术有限公司,上海,1-2万/月,07-19,无工作经验,本科
Python开发工程师Web方向,深圳市意科特实业有限公司,成都-高新区,0.6-1.2万/月,07-19,2年经验,大专
Python开发工程师,马衡达信息技术（上海）有限公司,北京-顺义区,1.1-1.4万/月,07-19,3-4年经验,本科
Python 高级开发工程师（深圳宝安）,广州金达通信息科技有限公司,深圳,1-2万/月,07-19,3-4年经验,大专
中级开发工程师(Python),广州润城实业集团有限公司,广州-海珠区,1-1.5万/月,07-19,3-4年经验,本科
算法工程师（Java/Scala/Python/R方向）,北京中能博泰科技有限公司,北京-海淀区,1.5-3万/月,07-19,3-4年经验,硕士
Python高级开发工程师,上海彩虹鱼海洋科技股份有限公司,上海-徐汇区,0.6-3万/月,07-19,2年经验,本科
python开发工程师,武汉尚软科技有限公司,武汉-洪山区,1-2万/月,07-19,3-4年经验,本科
Python/爬虫,信必优(深圳)信息技术有限公司,广州-越秀区,1-1.5万/月,07-19,无工作经验,大专
Python课程设计师/高薪/年轻化团队,深圳市编玩边学教育科技有限公司,武汉,0.5-1万/月,07-19,无工作经验,本科
python,北京远大创新科技有限公司,北京,1.2-1.7万/月,07-19,1年经验,本科
Python开发工程师,厦门谷道集团有限公司,厦门,0.6-1.2万/月,07-19,1年经验,大专
